category_title,region,views,likes,dislikes,comment_count
Pets & Animals,MX,45629022,990508,63713,166061
Pets & Animals,RU,61642822,2442850,129947,393434
Pets & Animals,US,764651989,19370702,527379,2660705
Science & Technology,CA,1425090421,42814598,1791153,7209219
Science & Technology,DE,572461153,15372868,737165,3442888
Science & Technology,FR,461992294,18513625,511858,2926363
Science & Technology,GB,1641388256,31873124,1623049,4029065
Science & Technology,IN,477111016,21395585,913603,9664392
Science & Technology,JP,191772211,3784549,160828,629683
Science & Technology,KR,308793361,5302551,220721,871040
Science & Technology,MX,202863454,5114569,275862,881509
Science & Technology,RU,425486169,25866814,1435933,5700658
Science & Technology,US,3487756816,82532638,4548402,11989926
Shows,CA,71549508,589263,120436,77243
Shows,DE,50844117,378819,98783,67392
Shows,FR,51823901,291212,103846,44882
Shows,GB,28583283,836738,6396,80957
Shows,IN,139581891,787516,226268,104880
Shows,KR,17539224,71800,9042,42604
Shows,MX,65436,491,91,331
Shows,RU,32576138,532349,93135,127959
Shows,US,51501058,1082639,24508,95117
Sports,CA,2997652188,59449419,3286369,7661342
Sports,DE,1938192278,37646423,2153755,4220385
Sports,FR,1996811039,43964560,2145956,4575418
Sports,GB,3341736194,74888487,9914555,10056226
Sports,IN,1379949159,32969986,1316379,2717679
Sports,JP,580726014,5563412,378340,1051743
Sports,KR,560430327,4194891,221186,911487
Sports,MX,1389337978,30866251,1279451,3206096
Sports,RU,383133314,11466103,706483,1405578
Sports,US,4404456673,98621211,5133551,11192155
Trailers,DE,8804,0,0,0
Trailers,FR,12940,192,9,0
Trailers,KR,33299,6,0,2
Travel & Events,CA,143746952,3750914,129861,609953
Travel & Events,DE,19213672,887036,30503,102772
Travel & Events,FR,9749080,871774,10980,101892
Travel & Events,GB,132784993,928747,34715,118177
Travel & Events,IN,1374342,16939,616,2448
Travel & Events,JP,14771399,176504,38491,49343
Travel & Events,KR,23088866,177651,15570,53367
Travel & Events,MX,15413050,897709,26253,103758
Travel & Events,RU,22975521,950559,112546,187532
Travel & Events,US,343557084,4836246,340427,911511
Unknown,CA,115601623,10242613,2325807,3222541
Unknown,DE,159162128,14600953,4006492,3880721
Unknown,FR,59490136,5987384,1231113,1848593
Unknown,GB,352798262,24452616,5436854,7672790
Unknown,IN,6615156,218112,8730,12844
Unknown,JP,1620605,41370,3560,10379
Unknown,KR,18191407,266208,24214,87479
Unknown,MX,51633006,2908413,505581,961586
Unknown,RU,285805498,20005278,7817721,4396835
